Contract Name;Last Traded Date;Strike;Last Price;Bid;Ask;Type;Expiry;;;;;;;;
AAPL250417P00305000;29/11/2024;305;68,65;60,35;63,75;PUT;17/04/2025;;;;;;;;
AAPL250417P00310000;26/11/2024;310;75,34;65,35;68,75;PUT;17/04/2025;;;;;;;;
AAPL260116C00005000;27/11/2024;5;229,75;235,9;239,8;CALL;16/01/2026;;;;;;;;
AAPL260116C00020000;08/12/2024;20;197,49;200,8;204,7;CALL;16/01/2026;;;;;;;;
AAPL260116C00025000;08/09/2024;25;191,8;194,5;198,25;CALL;16/01/2026;;;;;;;;
AAPL260116C00030000;21/11/2024;30;200,47;211,65;215,6;CALL;16/01/2026;;;;;;;;
AAPL260116C00035000;21/11/2024;35;195,75;206,9;210,9;CALL;16/01/2026;;;;;;;;
AAPL260116C00040000;21/11/2024;40;191,35;202,2;206,15;CALL;16/01/2026;;;;;;;;
AAPL260116C00045000;21/11/2024;45;186,55;197,45;201,4;CALL;16/01/2026;;;;;;;;
AAPL260116C00050000;21/11/2024;50;182,2;192,8;196,65;CALL;16/01/2026;;;;;;;;
AAPL260116C00055000;19/11/2024;55;178,35;188,15;191,95;CALL;16/01/2026;;;;;;;;
AAPL260116C00060000;21/11/2024;60;172,4;183,4;187,2;CALL;16/01/2026;;;;;;;;
AAPL260116C00065000;09/09/2024;65;155,3;165,95;169,05;CALL;16/01/2026;;;;;;;;
AAPL260116C00070000;11/08/2024;70;161,2;173,95;177,7;CALL;16/01/2026;;;;;;;;
AAPL260116C00075000;27/11/2024;75;163,85;169,25;173;CALL;16/01/2026;;;;;;;;
AAPL260116C00080000;12/03/2024;80;165,71;164,75;167,65;CALL;16/01/2026;;;;;;;;
AAPL260116C00085000;10/02/2024;85;145,73;139,9;143,8;CALL;16/01/2026;;;;;;;;
AAPL260116C00090000;12/02/2024;90;150,45;154,95;158,85;CALL;16/01/2026;;;;;;;;
AAPL260116C00095000;12/02/2024;95;149,52;150,25;154,15;CALL;16/01/2026;;;;;;;;
AAPL260116C00100000;12/03/2024;100;145,8;145,6;149,15;CALL;16/01/2026;;;;;;;;
AAPL260116C00105000;12/06/2024;105;143,46;140,85;144,75;CALL;16/01/2026;;;;;;;;
AAPL260116C00110000;12/06/2024;110;137,1;136,15;140,05;CALL;16/01/2026;;;;;;;;
AAPL260116C00115000;12/05/2024;115;133,72;131,4;135,4;CALL;16/01/2026;;;;;;;;
AAPL260116C00120000;12/06/2024;120;128,35;126,8;130,7;CALL;16/01/2026;;;;;;;;
AAPL260116C00125000;21/11/2024;125;111,61;122,15;126,05;CALL;16/01/2026;;;;;;;;
AAPL260116C00130000;12/04/2024;130;120;117,55;121,1;CALL;16/01/2026;;;;;;;;
AAPL260116C00135000;14/11/2024;135;100;112,9;116,8;CALL;16/01/2026;;;;;;;;
AAPL260116C00140000;12/06/2024;140;110,7;108,75;112,2;CALL;16/01/2026;;;;;;;;
AAPL260116C00145000;12/05/2024;145;106,1;103,9;107,65;CALL;16/01/2026;;;;;;;;
AAPL260116C00150000;12/06/2024;150;102,6;99,75;103,1;CALL;16/01/2026;;;;;;;;
AAPL260116C00155000;12/06/2024;155;96,91;94,75;98,55;CALL;16/01/2026;;;;;;;;
AAPL260116C00160000;12/03/2024;160;91,48;91,55;92,6;CALL;16/01/2026;;;;;;;;
AAPL260116C00165000;12/04/2024;165;87,4;87,15;89,6;CALL;16/01/2026;;;;;;;;
AAPL260116C00170000;12/06/2024;170;84,65;82,75;85,2;CALL;16/01/2026;;;;;;;;
AAPL260116C00175000;12/05/2024;175;79,85;78,4;80,2;CALL;16/01/2026;;;;;;;;
AAPL260116C00180000;12/06/2024;180;75,3;74,2;75;CALL;16/01/2026;;;;;;;;
AAPL260116C00185000;12/06/2024;185;70,49;69,95;72,35;CALL;16/01/2026;;;;;;;;
AAPL260116C00190000;12/06/2024;190;66,32;66;66,65;CALL;16/01/2026;;;;;;;;
AAPL260116C00195000;12/06/2024;195;62,7;62;62,6;CALL;16/01/2026;;;;;;;;
AAPL260116C00200000;12/06/2024;200;59,06;58;58,7;CALL;16/01/2026;;;;;;;;
AAPL260116C00205000;12/06/2024;205;54,72;54,1;54,9;CALL;16/01/2026;;;;;;;;
AAPL260116C00210000;12/06/2024;210;51;50,25;50,95;CALL;16/01/2026;;;;;;;;
AAPL260116C00215000;12/06/2024;215;47,37;46,75;47,5;CALL;16/01/2026;;;;;;;;
AAPL260116C00220000;12/06/2024;220;44,16;43,25;43,95;CALL;16/01/2026;;;;;;;;
AAPL260116C00225000;12/06/2024;225;40,27;39,75;40,3;CALL;16/01/2026;;;;;;;;
AAPL260116C00230000;12/06/2024;230;36,7;36,5;37,05;CALL;16/01/2026;;;;;;;;
AAPL260116C00235000;12/06/2024;235;33,71;33,35;33,9;CALL;16/01/2026;;;;;;;;
AAPL260116C00240000;12/06/2024;240;30,78;30,6;31,2;CALL;16/01/2026;;;;;;;;
AAPL260116C00245000;12/06/2024;245;27,95;26,85;28,4;CALL;16/01/2026;;;;;;;;
AAPL260116C00250000;12/06/2024;250;25,4;25,2;25,55;CALL;16/01/2026;;;;;;;;
AAPL260116C00255000;12/06/2024;255;23,23;22,8;23,1;CALL;16/01/2026;;;;;;;;
AAPL260116C00260000;12/06/2024;260;20,8;20,55;20,8;CALL;16/01/2026;;;;;;;;
AAPL260116C00265000;12/06/2024;265;18,68;18,4;18,7;CALL;16/01/2026;;;;;;;;
AAPL260116C00270000;12/06/2024;270;16,6;16,45;16,75;CALL;16/01/2026;;;;;;;;
AAPL260116C00275000;12/06/2024;275;15,05;14,65;15;CALL;16/01/2026;;;;;;;;
AAPL260116C00280000;12/06/2024;280;13,33;13,05;13,5;CALL;16/01/2026;;;;;;;;
AAPL260116C00285000;12/06/2024;285;12,11;11,6;12,05;CALL;16/01/2026;;;;;;;;
AAPL260116C00290000;12/06/2024;290;10,5;10,3;10,6;CALL;16/01/2026;;;;;;;;
AAPL260116C00300000;12/06/2024;300;8,27;8,1;8,45;CALL;16/01/2026;;;;;;;;
AAPL260116C00310000;12/05/2024;310;6,75;6,4;6,55;CALL;16/01/2026;;;;;;;;
AAPL260116C00320000;12/05/2024;320;5,17;4,9;5,2;CALL;16/01/2026;;;;;;;;
AAPL260116C00330000;12/06/2024;330;4;3,8;4;CALL;16/01/2026;;;;;;;;
AAPL260116C00340000;12/06/2024;340;3,04;2,95;3,2;CALL;16/01/2026;;;;;;;;
AAPL260116C00350000;12/06/2024;350;2,48;2,33;2,5;CALL;16/01/2026;;;;;;;;
AAPL260116P00005000;19/11/2024;5;0,01;0;0,03;PUT;16/01/2026;;;;;;;;
AAPL260116P00010000;18/11/2024;10;0,01;0;0,02;PUT;16/01/2026;;;;;;;;
AAPL260116P00030000;29/10/2024;30;0,05;0,01;0,07;PUT;16/01/2026;;;;;;;;
AAPL260116P00035000;22/11/2024;35;0,07;0,02;0,07;PUT;16/01/2026;;;;;;;;
AAPL260116P00040000;11/08/2024;40;0,06;0;0,09;PUT;16/01/2026;;;;;;;;
AAPL260116P00045000;12/06/2024;45;0,09;0,08;0,09;PUT;16/01/2026;;;;;;;;
AAPL260116P00050000;12/02/2024;50;0,1;0,08;0,12;PUT;16/01/2026;;;;;;;;
AAPL260116P00055000;27/11/2024;55;0,13;0;0,16;PUT;16/01/2026;;;;;;;;
AAPL260116P00060000;27/11/2024;60;0,15;0,09;0,18;PUT;16/01/2026;;;;;;;;
AAPL260116P00065000;29/11/2024;65;0,17;0,14;0,19;PUT;16/01/2026;;;;;;;;
AAPL260116P00070000;27/11/2024;70;0,21;0,09;0,24;PUT;16/01/2026;;;;;;;;
AAPL260116P00075000;27/11/2024;75;0,24;0,19;0,25;PUT;16/01/2026;;;;;;;;
AAPL260116P00080000;27/11/2024;80;0,28;0,23;0,28;PUT;16/01/2026;;;;;;;;
AAPL260116P00085000;27/11/2024;85;0,32;0,25;0,31;PUT;16/01/2026;;;;;;;;
AAPL260116P00090000;12/04/2024;90;0,3;0,3;0,35;PUT;16/01/2026;;;;;;;;
AAPL260116P00095000;27/11/2024;95;0,41;0,34;0,39;PUT;16/01/2026;;;;;;;;
AAPL260116P00100000;12/04/2024;100;0,42;0,38;0,45;PUT;16/01/2026;;;;;;;;
AAPL260116P00105000;12/03/2024;105;0,48;0,44;0,51;PUT;16/01/2026;;;;;;;;
AAPL260116P00110000;12/02/2024;110;0,57;0,51;0,58;PUT;16/01/2026;;;;;;;;
AAPL260116P00115000;12/05/2024;115;0,62;0,59;0,66;PUT;16/01/2026;;;;;;;;
AAPL260116P00120000;12/05/2024;120;0,7;0,67;0,75;PUT;16/01/2026;;;;;;;;
AAPL260116P00125000;29/11/2024;125;0,9;0,79;0,85;PUT;16/01/2026;;;;;;;;
AAPL260116P00130000;12/06/2024;130;0,92;0,87;0,96;PUT;16/01/2026;;;;;;;;
AAPL260116P00135000;12/06/2024;135;1,07;0,95;1,1;PUT;16/01/2026;;;;;;;;
AAPL260116P00140000;12/06/2024;140;1,22;1,11;1,26;PUT;16/01/2026;;;;;;;;
AAPL260116P00145000;12/02/2024;145;1,41;1,29;1,51;PUT;16/01/2026;;;;;;;;
AAPL260116P00150000;12/05/2024;150;1,61;1,51;1,72;PUT;16/01/2026;;;;;;;;
AAPL260116P00155000;12/05/2024;155;1,85;1,79;1,98;PUT;16/01/2026;;;;;;;;
AAPL260116P00160000;12/05/2024;160;2,14;2,07;2,25;PUT;16/01/2026;;;;;;;;
AAPL260116P00165000;12/05/2024;165;2,5;2,39;2,58;PUT;16/01/2026;;;;;;;;
AAPL260116P00170000;12/05/2024;170;2,94;2,76;2,86;PUT;16/01/2026;;;;;;;;
AAPL260116P00175000;12/06/2024;175;3,18;3,15;3,35;PUT;16/01/2026;;;;;;;;
AAPL260116P00180000;12/06/2024;180;3,71;3,65;3,9;PUT;16/01/2026;;;;;;;;
AAPL260116P00185000;12/06/2024;185;4,21;4,2;4,4;PUT;16/01/2026;;;;;;;;
AAPL260116P00190000;12/06/2024;190;4,85;4,8;5;PUT;16/01/2026;;;;;;;;
AAPL260116P00195000;12/06/2024;195;5,62;5,55;5,85;PUT;16/01/2026;;;;;;;;
AAPL260116P00200000;12/06/2024;200;6,4;6,35;6,7;PUT;16/01/2026;;;;;;;;
AAPL260116P00205000;12/03/2024;205;7,35;7,3;7,65;PUT;16/01/2026;;;;;;;;
AAPL260116P00210000;12/06/2024;210;8,37;8,3;8,7;PUT;16/01/2026;;;;;;;;
AAPL260116P00215000;12/06/2024;215;9,51;9,45;9,75;PUT;16/01/2026;;;;;;;;
AAPL260116P00220000;12/06/2024;220;10,94;10,75;11,15;PUT;16/01/2026;;;;;;;;
AAPL260116P00225000;12/06/2024;225;12,25;12,15;12,65;PUT;16/01/2026;;;;;;;;
AAPL260116P00230000;12/06/2024;230;14;13,7;14,15;PUT;16/01/2026;;;;;;;;
AAPL260116P00235000;12/06/2024;235;15,63;15,5;16,05;PUT;16/01/2026;;;;;;;;
AAPL260116P00240000;12/06/2024;240;17,64;17,35;17,85;PUT;16/01/2026;;;;;;;;
AAPL260116P00245000;12/06/2024;245;19,77;19,65;20,05;PUT;16/01/2026;;;;;;;;
AAPL260116P00250000;12/06/2024;250;22,2;21,85;22,5;PUT;16/01/2026;;;;;;;;
AAPL260116P00255000;12/06/2024;255;24,35;24,3;24,95;PUT;16/01/2026;;;;;;;;
AAPL260116P00260000;12/06/2024;260;27,15;25,5;27,85;PUT;16/01/2026;;;;;;;;
AAPL260116P00265000;12/06/2024;265;30;28,45;30,95;PUT;16/01/2026;;;;;;;;
AAPL260116P00270000;12/04/2024;270;33,48;33;34,05;PUT;16/01/2026;;;;;;;;
AAPL260116P00275000;25/10/2024;275;46,53;41,85;42,9;PUT;16/01/2026;;;;;;;;
AAPL260116P00280000;12/06/2024;280;40,91;39,6;41,5;PUT;16/01/2026;;;;;;;;
AAPL260116P00285000;31/10/2024;285;58,75;46,65;49,1;PUT;16/01/2026;;;;;;;;
AAPL260116P00290000;12/05/2024;290;48,21;47,4;49,5;PUT;16/01/2026;;;;;;;;
AAPL260116P00300000;12/05/2024;300;56,83;55,45;58,5;PUT;16/01/2026;;;;;;;;
AAPL260116P00310000;31/10/2024;310;79,2;71,8;74,55;PUT;16/01/2026;;;;;;;;
AAPL260116P00330000;11/08/2024;330;101,6;85,35;89,25;PUT;16/01/2026;;;;;;;;
AAPL260116P00340000;09/09/2024;340;120,25;108,8;111,9;PUT;16/01/2026;;;;;;;;
AAPL260116P00350000;26/11/2024;350;115,25;105,35;109,3;PUT;16/01/2026;;;;;;;;
AAPL270115C00005000;12/04/2024;5;238,9;235,9;239,85;CALL;15/01/2027;;;;;;;;
AAPL270115C00010000;12/05/2024;10;233,7;230,95;234,9;CALL;15/01/2027;;;;;;;;
AAPL270115C00015000;12/05/2024;15;229,16;225,5;230,5;CALL;15/01/2027;;;;;;;;
